Date,Temperature
2020-01-01,16.809750977933312
2020-01-02,17.938221509981638
2020-01-03,18.93667215430435
2020-01-04,25.596218511568928
2020-01-05,21.937324430514312
2020-01-06,22.75632532595989
2020-01-07,22.355380205610434
2020-01-08,20.358138025514616
2020-01-09,20.900571038115977
2020-01-10,24.705789904699394
2020-01-11,24.18971963175049
2020-01-12,22.626684192316606
2020-01-13,22.574295643535866
2020-01-14,26.155041054810795
2020-01-15,23.427290747173263
2020-01-16,25.006509217561547
2020-01-17,29.012947380247546
2020-01-18,23.14731569650395
2020-01-19,28.315404034942297
2020-01-20,22.559317982406828
2020-01-21,27.227182820878944
2020-01-22,20.38889181134312
2020-01-23,23.197754834134336
2020-01-24,22.331057017148886
2020-01-25,26.77292797295512
2020-01-26,19.655887101532493
2020-01-27,27.981756682229186
2020-01-28,23.713039142018513
2020-01-29,24.67728707983945
2020-01-30,28.66136181693801
2020-01-31,31.83286324197199
2020-02-01,24.443885445339873
2020-02-02,24.39588507594604
2020-02-03,31.54331598416433
2020-02-04,24.710185612515996
2020-02-05,25.47998531498227
2020-02-06,25.122982968504914
2020-02-07,30.783367733900967
2020-02-08,29.923151022932455
2020-02-09,28.27825909305705
2020-02-10,27.816463016371166
2020-02-11,31.824626342898725
2020-02-12,25.336175091413587
2020-02-13,28.493951686775624
2020-02-14,27.85206748039956
2020-02-15,29.907675186826793
2020-02-16,28.5027133603804
2020-02-17,29.433324793064198
2020-02-18,28.52553599819189
2020-02-19,28.718010354868095
2020-02-20,29.007690828156885
2020-02-21,26.672249244963922
2020-02-22,31.70072790174664
2020-02-23,34.48083960544444
2020-02-24,26.696229283430014
2020-02-25,27.083389372250522
2020-02-26,30.24314487308724
2020-02-27,31.443774651315145
2020-02-28,31.800042421251554
2020-02-29,31.4561681654725
2020-03-01,24.96616785824996
2020-03-02,29.635352918092448
2020-03-03,29.745065971551973
2020-03-04,29.88520710327827
2020-03-05,32.77189294359627
2020-03-06,25.096554739657737
2020-03-07,32.199580876609886
2020-03-08,28.376264996498946
2020-03-09,29.587549989069693
2020-03-10,31.98885687792206
2020-03-11,29.420625670271495
2020-03-12,26.941560244127288
2020-03-13,32.14672749882858
2020-03-14,26.281763545726754
2020-03-15,26.897841020870313
2020-03-16,27.2513553514185
2020-03-17,19.682164819090282
2020-03-18,28.185148962435928
2020-03-19,27.203407667962658
2020-03-20,31.790107659261455
2020-03-21,34.76140142461959
2020-03-22,26.35662958252809
2020-03-23,28.641121658072567
2020-03-24,23.794067162446197
2020-03-25,26.39981562089853
2020-03-26,26.931453413845205
2020-03-27,28.94992369713864
2020-03-28,28.789687033907544
2020-03-29,25.505301749530755
2020-03-30,26.708944288046943
2020-03-31,30.35629960165553
2020-04-01,28.664326055866248
2020-04-02,27.376950310510427
2020-04-03,24.06754917247188
2020-04-04,29.125253854284136
2020-04-05,26.281309681510773
2020-04-06,28.932030698132447
2020-04-07,28.519868028585844
2020-04-08,32.439256990767774
2020-04-09,26.32224854646985
2020-04-10,25.922706048912122
2020-04-11,28.366707431852557
2020-04-12,25.48965129411673
2020-04-13,22.673799793974894
2020-04-14,24.728974723072298
2020-04-15,26.56088811789781
2020-04-16,22.580634800532227
2020-04-17,26.23732654397032
2020-04-18,20.33074951015407
2020-04-19,21.413263312033738
2020-04-20,22.88950781004494
2020-04-21,23.646856001650047
2020-04-22,20.93125516131755
2020-04-23,23.57280571268929
2020-04-24,24.547395181764625
2020-04-25,21.071698068213422
2020-04-26,21.20421167093526
